Category,Question
Basic Element Retrieval,"Làm thế nào để lấy tất cả các bức tường trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các cửa trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các cửa sổ trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các cột cấu trúc trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các dầm trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các sàn trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các mái nhà trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các trần trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các cầu thang trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các đường ống trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các ống gió trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các thiết bị điện trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các thiết bị vệ sinh trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các thiết bị cơ khí trong tài liệu hiện tại?"
Basic Element Retrieval,"Làm thế nào để lấy phần tử có một ID cụ thể (ví dụ: 123456)?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các phần tử thuộc một danh mục cụ thể (ví dụ: OST_Furniture)?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các phần tử thuộc một danh mục hệ thống cụ thể (ví dụ: OST_Levels)?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các phần tử thuộc một danh mục chú thích cụ thể (ví dụ: OST_Dimensions)?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các phần tử thuộc một danh mục chi tiết cụ thể (ví dụ: OST_DetailComponents)?"
Basic Element Retrieval,"Làm thế nào để lấy tất cả các phần tử thuộc một danh mục mô hình cụ thể (ví dụ: OST_Walls)?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các thể hiện của một họ cụ thể (ví dụ: ""Standard Door"")?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các thể hiện của một loại cụ thể trong một họ (ví dụ: ""Single-Flush 30x80"")?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các họ đã được tải trong dự án hiện tại?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các loại trong một họ cụ thể?"
Type Based Retrieval,"Làm thế nào để lấy một loại cụ thể theo tên của nó?"
Type Based Retrieval,"Làm thế nào để lấy một họ cụ thể theo tên của nó?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các ký hiệu họ trong dự án?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các loại hệ thống tường có tên chứa ""Exterior""?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các loại cửa có chiều rộng bằng 36 inch?"
Type Based Retrieval,"Làm thế nào để lấy tất cả các loại cột cấu trúc có vật liệu là ""Concrete""?"
Property Based Filtering,"Làm thế nào để lấy tất cả các bức tường có chiều cao lớn hơn 10 feet (giả sử có tham số ""Height"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các cửa có giá trị ""Mark"" là ""D01""?"
Property Based Filtering,"Làm thế nào để lấy tất cả các cửa sổ có chiều rộng bằng 36 inch (giả sử có tham số ""Width"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các cột cấu trúc được làm bằng bê tông (giả sử có tham số ""Material"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các dầm có một tham số tùy chỉnh cụ thể với một giá trị nhất định?"
Property Based Filtering,"Làm thế nào để lấy tất cả các phần tử có tham số ""Fire Rating"" là ""2 Hour""?"
Property Based Filtering,"Làm thế nào để lấy tất cả các thiết bị có công suất lớn hơn 1000 Watts (giả sử có tham số ""Power"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các ống gió có loại hệ thống là ""Supply Air"" (giả sử có tham số ""System Type"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các đường ống có đường kính là 4 inch (giả sử có tham số ""Diameter"")?"
Property Based Filtering,"Làm thế nào để lấy tất cả các phòng có diện tích lớn hơn 200 feet vuông (giả sử có tham số ""Area"")?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử nằm trong một hộp giới hạn cụ thể?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử giao với một bức tường đã cho?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử nằm trong một phòng cụ thể?"
Spatial Queries,"Làm thế nào để tìm phòng mà một cánh cửa cụ thể thuộc về?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử trên một cao độ cụ thể?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử trong một khoảng cách nhất định từ một điểm đã cho?"
Spatial Queries,"Làm thế nào để tìm tất cả các cột hỗ trợ một dầm cụ thể? (Có thể phức tạp hơn)"
Spatial Queries,"Làm thế nào để tìm tất cả các bức tường liền kề với một phòng cụ thể?"
Spatial Queries,"Làm thế nào để lấy tất cả các phần tử có điểm vị trí nằm trong một khu vực nhất định?"
Spatial Queries,"Làm thế nào để tìm tất cả các phần tử hoàn toàn nằm ngoài một khu vực cụ thể?"
Document Information,"Làm thế nào để lấy tên của dự án Revit hiện tại?"
Document Information,"Làm thế nào để lấy tác giả của dự án Revit hiện tại?"
Document Information,"Làm thế nào để lấy chế độ xem hiện đang hoạt động?"
Document Information,"Làm thế nào để lấy tất cả các chế độ xem trong dự án hiện tại?"
Document Information,"Làm thế nào để lấy tất cả các bản vẽ trong dự án hiện tại?"
View Specific Queries,"Làm thế nào để lấy tất cả các phần tử hiển thị trong chế độ xem hiện tại?"
View Specific Queries,"Làm thế nào để lấy tất cả các kích thước trong một mặt bằng cụ thể?"
View Specific Queries,"Làm thế nào để lấy tất cả các ghi chú văn bản trong một mặt đứng cụ thể?"
View Specific Queries,"Làm thế nào để lấy tất cả các thành phần chi tiết trong một chế độ xem chi tiết?"
View Specific Queries,"Làm thế nào để lấy hộp xén của chế độ xem hiện tại?"
Selection Related Queries,"Làm thế nào để lấy các phần tử hiện đang được chọn trong giao diện người dùng Revit?"
Selection Related Queries,"Làm thế nào để kiểm tra xem có bất kỳ phần tử nào đang được chọn hay không?"
Selection Related Queries,"Làm thế nào để lấy số lượng phần tử hiện đang được chọn?"
Selection Related Queries,"Làm thế nào để lấy phần tử được chọn đầu tiên?"
Selection Related Queries,"Làm thế nào để lọc các phần tử đã chọn theo danh mục?"
Selection Related Queries,"Làm thế nào để lọc các phần tử đã chọn theo tên họ?"
Selection Related Queries,"Làm thế nào để lấy ID của các phần tử đã chọn?"
Selection Related Queries,"Làm thế nào để chọn một tập hợp các phần tử cụ thể theo chương trình?"
Selection Related Queries,"Làm thế nào để xóa lựa chọn hiện tại?"
Selection Related Queries,"Làm thế nào để lấy lựa chọn trong một chế độ xem cụ thể?"
System Family Queries,"Làm thế nào để lấy tất cả các cao độ được sắp xếp theo độ cao?"
System Family Queries,"Làm thế nào để lấy cao độ cơ sở của một bức tường cụ thể?"
System Family Queries,"Làm thế nào để lấy cao độ trên cùng của một bức tường cụ thể?"
System Family Queries,"Làm thế nào để lấy tất cả các đường lưới theo một hướng cụ thể (ví dụ: ngang)?"
System Family Queries,"Làm thế nào để lấy cao độ liên quan đến một chế độ xem cụ thể?"
System Family Queries,"Làm thế nào để lấy loại tường mặc định trong dự án?"
System Family Queries,"Làm thế nào để lấy loại sàn mặc định trong dự án?"
System Family Queries,"Làm thế nào để lấy loại trần mặc định trong dự án?"
System Family Queries,"Làm thế nào để lấy cao độ thấp nhất trong dự án?"
System Family Queries,"Làm thế nào để lấy cao độ cao nhất trong dự án?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các kích thước trong chế độ xem hiện tại?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các kích thước tuyến tính?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các kích thước bán kính?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các kích thước góc?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các ghi chú văn bản trong chế độ xem hiện tại?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các đường dẫn đầu?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các thẻ trong chế độ xem hiện tại (ví dụ: thẻ cửa, thẻ cửa sổ)?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các ký hiệu trong chế độ xem hiện tại (ví dụ: mũi tên chỉ bắc)?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các đám mây sửa đổi trong chế độ xem hiện tại?"
Annotation Element Queries,"Làm thế nào để lấy tất cả các thẻ chú thích khóa trong chế độ xem hiện tại?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện của một họ và loại cửa cụ thể?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện của một họ đồ nội thất cụ thể?"
Family Instance Queries,"Làm thế nào để lấy phần tử chủ của một thể hiện cửa cụ thể (ví dụ: bức tường mà nó được đặt vào)?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ trên một cao độ cụ thể?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ có một hướng cụ thể?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ có tên chứa một chuỗi cụ thể?"
Family Instance Queries,"Làm thế nào để lấy vị trí của tất cả các thể hiện họ thuộc một danh mục cụ thể?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ chưa được đặt của một họ cụ thể?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ đã được lật?"
Family Instance Queries,"Làm thế nào để lấy tất cả các thể hiện họ có một giá trị tham số cụ thể?"
