english, vietnamese
dbId,ID cơ sở dữ liệu
external_id,ID bên ngoài
ElementId,ID phần tử
Name,Tên
Category,Thể loại
CategoryId,ID thể loại
Workset,Bộ công việc
Edited by,Được chỉnh sửa bởi
Image,Hình ảnh
Keynote,Khóa luận
Export to IFC,Xuất sang IFC
Export to IFC As,Xuất sang IFC như
IFC Predefined Type,Loại IFC định nghĩa trước
IfcGUID,GUID IFC
Model,Mô hình
Manufacturer,Nhà sản xuất
Comments,Ghi chú
URL,URL
Description,Mô tả
Cost,Chi phí
Mark,Ký hiệu
Color,Màu sắc
Transparency,Độ trong suốt
Glow,Ánh sáng
Smoothness,Độ mịn
Shininess,Độ sáng
Material Type,Loại vật liệu
Class,Lớp
Subclass,Lớp con
Behavior,Hành vi
Young modulus X,Modul đàn hồi X
Young modulus Y,Modul đàn hồi Y
Young modulus Z,Modul đàn hồi Z
Poisson ratio X,Tỷ số Poisson X
Poisson ratio Y,Tỷ số Poisson Y
Poisson ratio Z,Tỷ số Poisson Z
Shear modulus X,Modul cắt X
Shear modulus Y,Modul cắt Y
Shear modulus Z,Modul cắt Z
Thermal expansion coefficient X,Tỷ số giãn nở nhiệt X
Thermal expansion coefficient Y,Tỷ số giãn nở nhiệt Y
Thermal expansion coefficient Z,Tỷ số giãn nở nhiệt Z
Unit weight,Trọng lượng đơn vị
Minimum yield stress,Áp suất kéo tối thiểu
Minimum tensile strength,Độ bền kéo tối thiểu
Thermally Treated,Được xử lý nhiệt
Reduction factor for shear,Tỷ số giảm cho cắt
Concrete compression,Nén bê tông
Lightweight,Nhẹ
Shear strength modification,Điều chỉnh độ bền cắt
Young modulus,Modul đàn hồi
Poisson ratio,Tỷ số Poisson
Shear modulus,Modul cắt
Thermal expansion coefficient,Tỷ số giãn nở nhiệt
Species,Loài
Grade,Độ
Bending,Uốn
Compression parallel to grain,Nén song song với hạt
Compression perpendicular to grain,Nén vuông góc với hạt
Shear parallel to grain,Cắt song song với hạt
Tension perpendicular to grain,Tension vuông góc với hạt
Type Name,Tên loại
View Template applied to new views,Mẫu xem được áp dụng cho các xem mới
New views are dependent on template,Các xem mới phụ thuộc vào mẫu
Elevation Tag,Đánh dấu độ cao
Callout Tag,Đánh dấu gọi tên
Reference Label,Nhãn tham chiếu
hyperlink,Liên kết siêu
View Template,Mẫu xem
View Name,Tên xem
Dependency,Tương thuộc
Title on Sheet,Tiêu đề trên tờ
View Scale,Kích thước xem
Scale Value,Giá trị kích thước
Display Model,Hiển thị mô hình
Detail Level,Cấp chi tiết
Parts Visibility,Độ nhìn thấy của các phần
Referencing Sheet,Tờ tham chiếu
Referencing Detail,Chi tiết tham chiếu
Crop View,Cắt xem
Crop Region Visible,Vùng cắt nhìn thấy
Annotation Crop,Cắt chú thích
Visibility/Graphics Overrides,Đặt biệt quyền nhìn thấy/hiển thị
Graphic Display Options,Tùy chọn hiển thị đồ họa
Far Clipping,Cắt xa
Far Clip Offset,Offset cắt xa
Hide at scales coarser than,Ẩn ở các cấp độ lớn hơn
Phase Filter,Lọc giai đoạn
Phase,Giai đoạn
Scope Box,Hộp phạm vi
Discipline,Ngành
Show Hidden Lines,Hiển thị các đường ẩn
Color Scheme Location,Vị trí màu sắc
Color Scheme,Màu sắc
Default Analysis Display Style,Phong cách hiển thị phân tích mặc định
Associated Datum,Dữ liệu liên quan
Sun Path,Đường đi của mặt trời
Detail Number,Số chi tiết
Sheet Number,Số tờ
Sheet Name,Tên tờ
Rotation on Sheet,Vòng quay trên tờ
V/G Overrides Model,Đặt biệt quyền mô hình
V/G Overrides Annotation,Đặt biệt quyền chú thích
V/G Overrides Analytical Model,Đặt biệt quyền mô hình phân tích
V/G Overrides Import,Đặt biệt quyền nhập
V/G Overrides Filters,Đặt biệt quyền lọc
V/G Overrides Worksets,Đặt biệt quyền bộ công việc
V/G Overrides Point Clouds,Đặt biệt quyền đám mây điểm
Model Display,Hiển thị mô hình
Shadows,Ánh bóng
Sketchy Lines,Các đường gợi ý
Lighting,Ánh sáng
Photographic Exposure,Độ phơi sáng của ảnh
Underlay Orientation,Hướng của lớp dưới
View Range,Phạm vi xem
Orientation,Hướng
System Color Schemes,Màu sắc hệ thống
Depth Clipping,Cắt độ sâu
Depth Cueing,Gợi ý độ sâu
Background,Background
Rendering Settings,Cài đặt rendering
View,Xem
Viewport Positioning,Vị trí cửa sổ xem
Range: Base Level,Phạm vi: cấp độ cơ sở
Range: Top Level,Phạm vi: cấp độ trên
Associated Level,Cấp độ liên quan
Wall Join Display,Hiển thị kết nối tường
Title,Tiêu đề
Show Title,Hiển thị tiêu đề
Show Extension Line,Hiển thị đường mở rộng
Preserve Title Position,Bảo tồn vị trí tiêu đề
Line Weight,Trọng lượng đường
Line Pattern,Mẫu đường
Work Plane Grid Spacing,Khoảng cách lưới mặt công việc
Revision Sequence,Chuỗi sửa đổi
Revision Number,Số sửa đổi
Revision Date,Ngày sửa đổi
Revision Description,Mô tả sửa đổi
Issued,Được phát hành
Issued to,Được phát hành cho
Issued by,Được phát hành bởi
Numbering,Số hóa
Organization Name,Tên tổ chức
Organization Description,Mô tả tổ chức
Building Name,Tên tòa nhà
Author,Tác giả
IfcSite GUID,GUID IfcSite
IfcBuilding GUID,GUID IfcBuilding
IfcProject GUID,GUID IfcProject
Project Issue Date,Ngày phát hành dự án
Project Status,Trạng thái dự án
Client Name,Tên khách hàng
Project Address,Địa chỉ dự án
Project Name,Tên dự án
Project Number,Số dự án
Route Analysis Settings,Cài đặt phân tích tuyến
Scale,Kích thước
Date/Time Stamp,Đánh dấu thời gian
Sheet Issue Date,Ngày phát hành tờ
Drawn By,Được vẽ bởi
Checked By,Được kiểm tra bởi
Designed By,Được thiết kế bởi
Approved By,Được phê duyệt bởi
Sheet Width,Chiều rộng tờ
Sheet Height,Chiều cao tờ
File Path,Đường dẫn tệp
Room Name,Tên phòng
Room Number,Số phòng
Sun path size (%),Kích thước đường đi của mặt trời (%)
Level,Cấp độ
Moves With Nearby Elements,Di chuyển cùng với các phần tử gần
Detail Line,Đường chi tiết
Length,Chiều dài
Arc Leaders,Các đường dẫn hình cung
Left Attachment,Đính kèm trái
Right Attachment,Đính kèm phải
Horizontal Align,Đánh dấu ngang
Vertical Align,Đánh dấu dọc
Keep Readable,Giữ đọc được
Text Font,Font chữ
Text Size,Kích thước chữ
Tab Size,Kích thước tab
Bold,In đậm
Italic,In nghiêng
Underline,Gạch dưới
Width Factor,Tỷ số chiều rộng
Show Border,Hiển thị đường biên
Leader/Border Offset,Offset đường dẫn/đường biên
Leader Arrowhead,Đầu mũi tên đường dẫn
Service Type,Loại dịch vụ
Coil Bypass,Bypass cuộn
Cooling Information,Thông tin làm mát
Heating Information,Thông tin sưởi ấm
Outdoor Air Information,Thông tin không khí ngoài trời
Calculated Heating Load,Tải nhiệt làm mát tính toán
Calculated Heating Load per area,Tải nhiệt làm mát tính toán trên mỗi đơn vị diện tích
Calculated Area per Heating Load,Diện tích tính toán trên mỗi tải nhiệt làm mát
Calculated Cooling Load,Tải làm mát tính toán
Calculated Cooling Load per area,Tải làm mát tính toán trên mỗi đơn vị diện tích
Calculated Area per Cooling Load,Diện tích tính toán trên mỗi tải làm mát
Calculated Supply Airflow,Lưu lượng không khí cung cấp tính toán
Calculated Supply Airflow per area,Lưu lượng không khí cung cấp tính toán trên mỗi đơn vị diện tích
Occupied Area,Diện tích chiếm dụng
Gross Area,Diện tích toàn bộ
Occupied Volume,Thể tích chiếm dụng
Gross Volume,Thể tích toàn bộ
Perimeter,Diện tích xung quanh
Area per Person,Diện tích trên mỗi người
Sensible Heat Gain per person,Tải nhiệt cảm nhận trên mỗi người
Latent Heat Gain per person,Tải nhiệt ẩn trên mỗi người
Specified Lighting Load per area,Tải ánh sáng xác định trên mỗi đơn vị diện tích
Specified Power Load per area,Tải công suất xác định trên mỗi đơn vị diện tích
Infiltration Airflow per area,Lưu lượng không khí xâm nhập trên mỗi đơn vị diện tích
Plenum Lighting Contribution,Sự đóng góp của ánh sáng trong plenum
Occupancy Schedule,Lịch sử chiếm dụng
Lighting Schedule,Lịch sử ánh sáng
Power Schedule,Lịch sử công suất
Outdoor Air per Person,Không khí ngoài trời trên mỗi người
Outdoor Air per Area,Không khí ngoài trời trên mỗi đơn vị diện tích
Air Changes per Hour,Số lần thay đổi không khí mỗi giờ
Outdoor Air Method,Phương pháp không khí ngoài trời
Opening Time,Thời gian mở
Closing Time,Thời gian đóng
Unoccupied Cooling Set Point,Điểm làm mát không chiếm dụng
Heating Set Point,Điểm sưởi ấm
Cooling Set Point,Điểm làm mát
Humidification Set Point,Điểm làm ẩm
Dehumidification Set Point,Điểm làm khô
N/S,Bắc/Nam
E/W,Đông/Tây
Elev,Độ cao
Lat,Vĩ độ
Lon,Kinh độ
Angle to True North,Góc với Bắc thực
Far Clip Active,Cắt xa hoạt động
Locked Orientation,Hướng bị khóa
Projection Mode,Chế độ chiếu
Eye Elevation,Độ cao mắt
Target Elevation,Độ cao mục tiêu
Camera Position,Vị trí camera
Section Box,Hộp cắt
Show Grids,Hiển thị lưới
Coarse Poche Material,Vật liệu poche thô
Property Set Name,Tên bộ thuộc tính
Keywords,Từ khóa
Source URL,URL nguồn
Source,Nguồn
External Material ID,ID vật liệu bên ngoài
Sharing,Chia sẻ
Asset library id,ID thư viện tài nguyên
Density,Khối lượng riêng
Specific Heat,Nhiệt riêng
Thermal Conductivity Z,Độ dẫn nhiệt Z
Thermal Conductivity Y,Độ dẫn nhiệt Y
Thermal Conductivity X,Độ dẫn nhiệt X
Thermal Conductivity,Độ dẫn nhiệt
Thermal Expansion Coefficient 2,Tỷ số giãn nở nhiệt 2
Thermal Expansion Coefficient 1,Tỷ số giãn nở nhiệt 1
Shear Modulus 12,Modul cắt 12
Poisson Ratio 23,Tỷ số Poisson 23
Poisson Ratio 12,Tỷ số Poisson 12
Young's Modulus 2,Modul đàn hồi 2
Young's Modulus 1,Modul đàn hồi 1
Resistance calculation strength,Độ mạnh tính toán sức kháng
Shear reinforcement yield stress,Áp suất kéo của gia cường cắt
Bending reinforcement,Gia cường uốn
Electrical Resistivity,Độ dẫn điện
Reflectivity,Độ phản xạ
Porosity,Độ thấm
Permeability,Độ thấm
Transmits Light,Chuyển ánh sáng
Emissivity,Độ phát xạ
Construction,Xây dựng
5% Modulus of Elasticity,Modul đàn hồi 5%
Average Modulus,Modul đàn hồi trung bình
Tension Perpendicular to Grain,Tension vuông góc với hạt
Tension Parallel to Grain,Tension song song với hạt
Compressibility,Độ nén
Gas Viscosity,Độ nhớt khí
Segment Description,Mô tả đoạn
Connection Type,Loại kết nối
Roughness,Độ nhám
Material,Vật liệu
Schedule/Type,Lịch trình/loại
Fields,Các trường
Sorting/Grouping,Sắp xếp/đánh dấu
Formatting,Định dạng
Appearance,Hiện diện
Filter,Lọc
Phase Created,Giai đoạn được tạo
